Departamento,Año Desmovilización,Número Desmovilizados
Caldas,"2,012",5
Caquetá,"2,012",45
Casanare,"2,012",21
Cauca,"2,012",24
Cesar,"2,012",22
Chocó,"2,012",13
Córdoba,"2,012",8
Cundinamarca,"2,012",35
Guaviare,"2,012",11
Huila,"2,012",50
La Guajira,"2,012",1
Magdalena,"2,012",7
Meta,"2,012",137
Nariño,"2,012",21
Norte de Santander,"2,012",28
Putumayo,"2,012",30
Quindio,"2,012",10
Risaralda,"2,012",11
Santander,"2,012",41
Sucre,"2,012",4
Tolima,"2,012",30
Valle del Cauca,"2,012",89
Vaupés,"2,012",6
Vichada,"2,012",1
<Por Asignar>,"2,013",94
Antioquia,"2,013",139
Arauca,"2,013",11
Atlántico,"2,013",9
Bogotá D.C.,"2,013",81
Bolívar,"2,013",11
Boyacá,"2,013",5
Caldas,"2,013",15
Caquetá,"2,013",72
Casanare,"2,013",13
Cauca,"2,013",67
Cesar,"2,013",29
Chocó,"2,013",21
Córdoba,"2,013",9
Cundinamarca,"2,013",38
Guainía,"2,013",7
Guaviare,"2,013",14
Huila,"2,013",47
La Guajira,"2,013",11
Magdalena,"2,013",12
Meta,"2,013",110
Nariño,"2,013",32
Norte de Santander,"2,013",18
Putumayo,"2,013",45
Quindio,"2,013",10
Risaralda,"2,013",22
Santander,"2,013",32
Sucre,"2,013",1
Tolima,"2,013",43
Valle del Cauca,"2,013",130
Vaupés,"2,013",2
<Por Asignar>,"2,014",75
Amazonas,"2,014",1
Antioquia,"2,014",115
Arauca,"2,014",10
Atlántico,"2,014",7
Bogotá D.C.,"2,014",58
Bolívar,"2,014",12
Boyacá,"2,014",12
Caldas,"2,014",10
Caquetá,"2,014",75
Casanare,"2,014",18
Cauca,"2,014",47
Cesar,"2,014",23
Chocó,"2,014",19
Córdoba,"2,014",12
Cundinamarca,"2,014",49
Guainía,"2,014",1
Guaviare,"2,014",20
Huila,"2,014",67
La Guajira,"2,014",11
Magdalena,"2,014",7
Meta,"2,014",124
Nariño,"2,014",21
Norte de Santander,"2,014",35
Putumayo,"2,014",18
Quindio,"2,014",16
Risaralda,"2,014",19
Santander,"2,014",22
Sucre,"2,014",2
Tolima,"2,014",48
Valle del Cauca,"2,014",74
Vaupés,"2,014",3
Vichada,"2,014",3
<Por Asignar>,"2,015",56
Amazonas,"2,015",2
Antioquia,"2,015",94
Arauca,"2,015",13
Atlántico,"2,015",2
Bogotá D.C.,"2,015",51
Bolívar,"2,015",7
Boyacá,"2,015",6
Caldas,"2,015",4
Caquetá,"2,015",64
Casanare,"2,015",11
Cauca,"2,015",52
Cesar,"2,015",12
Chocó,"2,015",29
Córdoba,"2,015",11
Cundinamarca,"2,015",39
Guainía,"2,015",2
Guaviare,"2,015",17
Huila,"2,015",44
La Guajira,"2,015",2
Magdalena,"2,015",3
Meta,"2,015",79
Nariño,"2,015",24
Norte de Santander,"2,015",8
Putumayo,"2,015",23
Quindio,"2,015",12
Risaralda,"2,015",23
Santander,"2,015",16
Sucre,"2,015",4
Tolima,"2,015",25
Valle del Cauca,"2,015",73
Vaupés,"2,015",7
Vichada,"2,015",5
<Por Asignar>,"2,016",71
Antioquia,"2,016",87
Arauca,"2,016",13
Atlántico,"2,016",3
Bogotá D.C.,"2,016",38
Bolívar,"2,016",10
Boyacá,"2,016",4
Caldas,"2,016",7
Caquetá,"2,016",61
Casanare,"2,016",5
Cauca,"2,016",23
Cesar,"2,016",14
Chocó,"2,016",32
Córdoba,"2,016",3
Cundinamarca,"2,016",28
Guainía,"2,016",4
Guaviare,"2,016",11
Huila,"2,016",25
La Guajira,"2,016",5
Magdalena,"2,016",5
Meta,"2,016",98
Nariño,"2,016",27
Norte de Santander,"2,016",18
Putumayo,"2,016",13
Quindio,"2,016",6
Risaralda,"2,016",19
Santander,"2,016",14
Sucre,"2,016",1
Tolima,"2,016",14
Valle del Cauca,"2,016",61
Vaupés,"2,016",6
Vichada,"2,016",4
<Por Asignar>,"2,017",65
Amazonas,"2,017",3
Antioquia,"2,017",82
Arauca,"2,017",13
Atlántico,"2,017",1
Bogotá D.C.,"2,017",43
Bolívar,"2,017",11
Boyacá,"2,017",12
Caldas,"2,017",6
Caquetá,"2,017",49
Casanare,"2,017",9
Cauca,"2,017",29
Cesar,"2,017",9
Chocó,"2,017",41
Córdoba,"2,017",2
Cundinamarca,"2,017",27
Guaviare,"2,017",43
Huila,"2,017",26
La Guajira,"2,017",5
Magdalena,"2,017",1
Meta,"2,017",111
Nariño,"2,017",116
Norte de Santander,"2,017",16
Putumayo,"2,017",14
Quindio,"2,017",12
Risaralda,"2,017",13
Santander,"2,017",13
Sucre,"2,017",1
Tolima,"2,017",15
Valle del Cauca,"2,017",72
Vaupés,"2,017",5
Vichada,"2,017",6
<Por Asignar>,"2,018",34
Antioquia,"2,018",72
Arauca,"2,018",14
Atlántico,"2,018",2
Bogotá D.C.,"2,018",41
Bolívar,"2,018",9
Boyacá,"2,018",6
Caldas,"2,018",6
Caquetá,"2,018",9
Casanare,"2,018",7
Cauca,"2,018",15
Cesar,"2,018",12
Chocó,"2,018",20
Córdoba,"2,018",8
Cundinamarca,"2,018",15
Guaviare,"2,018",6
Huila,"2,018",8
La Guajira,"2,018",3
Magdalena,"2,018",1
Meta,"2,018",26
Nariño,"2,018",23
Norte de Santander,"2,018",23
Putumayo,"2,018",7
Quindio,"2,018",3
Risaralda,"2,018",19
Santander,"2,018",12
Tolima,"2,018",3
Valle del Cauca,"2,018",29
<Por Asignar>,"2,019",8
Antioquia,"2,019",60
Arauca,"2,019",3
Atlántico,"2,019",1
Bogotá D.C.,"2,019",24
Bolívar,"2,019",11
Boyacá,"2,019",4
Caldas,"2,019",4
Caquetá,"2,019",6
Casanare,"2,019",4
Cauca,"2,019",7
Cesar,"2,019",9
Chocó,"2,019",19
Córdoba,"2,019",4
Cundinamarca,"2,019",4
Guaviare,"2,019",3
Huila,"2,019",4
La Guajira,"2,019",1
Meta,"2,019",4
Nariño,"2,019",6
Norte de Santander,"2,019",16
Putumayo,"2,019",3
Quindio,"2,019",3
Risaralda,"2,019",3
Santander,"2,019",17
Sucre,"2,019",2
Valle del Cauca,"2,019",21
<Por Asignar>,"2,020",2
Antioquia,"2,020",45
Arauca,"2,020",3
Atlántico,"2,020",2
Bogotá D.C.,"2,020",14
Bolívar,"2,020",5
Boyacá,"2,020",1
Caldas,"2,020",2
Caquetá,"2,020",1
Casanare,"2,020",2
Cauca,"2,020",18
Cesar,"2,020",9
Chocó,"2,020",13
Córdoba,"2,020",2
Cundinamarca,"2,020",4
Huila,"2,020",3
La Guajira,"2,020",1
Magdalena,"2,020",7
Meta,"2,020",3
Nariño,"2,020",6
Norte de Santander,"2,020",19
Putumayo,"2,020",2
Quindio,"2,020",3
Risaralda,"2,020",3
Santander,"2,020",8
Sucre,"2,020",1
Tolima,"2,020",1
Valle del Cauca,"2,020",21
<Por Asignar>,"2,021",3
Antioquia,"2,021",42
Arauca,"2,021",1
Atlántico,"2,021",1
Bogotá D.C.,"2,021",25
Bolívar,"2,021",7
Caldas,"2,021",4
Caquetá,"2,021",6
Casanare,"2,021",2
Cauca,"2,021",5
Cesar,"2,021",1
Chocó,"2,021",18
Córdoba,"2,021",3
Cundinamarca,"2,021",10
Guaviare,"2,021",2
Huila,"2,021",4
Magdalena,"2,021",1
Meta,"2,021",8
Nariño,"2,021",1
Norte de Santander,"2,021",8
Putumayo,"2,021",1
Quindio,"2,021",1
Risaralda,"2,021",2
Santander,"2,021",6
Sucre,"2,021",2
Tolima,"2,021",5
Valle del Cauca,"2,021",24
<Por Asignar>,"2,022",1
Amazonas,"2,022",1
Antioquia,"2,022",19
Arauca,"2,022",1
Atlántico,"2,022",1
Bogotá D.C.,"2,022",11
Bolívar,"2,022",1
Caldas,"2,022",2
Caquetá,"2,022",7
Casanare,"2,022",1
Cauca,"2,022",4
Cesar,"2,022",1
Chocó,"2,022",9
Córdoba,"2,022",1
Cundinamarca,"2,022",9
Guaviare,"2,022",2
Huila,"2,022",4
La Guajira,"2,022",2
Meta,"2,022",7
Nariño,"2,022",3
Norte de Santander,"2,022",3
Putumayo,"2,022",1
Risaralda,"2,022",8
Santander,"2,022",8
Tolima,"2,022",4
Valle del Cauca,"2,022",18
Vaupés,"2,022",1
Antioquia,"2,023",10
Bogotá D.C.,"2,023",8
Bolívar,"2,023",1
Boyacá,"2,023",1
Caldas,"2,023",2
Casanare,"2,023",1
Cauca,"2,023",1
Cesar,"2,023",2
Chocó,"2,023",4
Córdoba,"2,023",1
Cundinamarca,"2,023",10
Meta,"2,023",3
Norte de Santander,"2,023",2
Quindio,"2,023",2
Risaralda,"2,023",1
Santander,"2,023",4
Sucre,"2,023",1
Tolima,"2,023",3
Valle del Cauca,"2,023",8
Antioquia,"2,024",5
Bogotá D.C.,"2,024",2
Boyacá,"2,024",2
Cundinamarca,"2,024",10
Risaralda,"2,024",1
Santander,"2,024",2
Tolima,"2,024",10
